locus_tag	log2FoldChange	padj	Gene	Product	COG_category	KEGG_Pathway
IODOLM_01173	3.07305115686973	2.73119262800557e-84		Isocitrate dehydrogenase [NADP] 1	C	ko00020,ko00480,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,ko04146,map00020,map00480,map00720,map01100,map01110,map01120,map01130,map01200,map01210,map01230,map04146
IODOLM_01177	2.53372031518174	1.05196210411127e-17		Protein	S	-
IODOLM_01178	2.70837542504411	7.04411396385464e-18	ariR	biofilm/acid-resistance regulator AriR	K	-
IODOLM_01181	2.80034616357563	1.73684308790412e-05	ymgF	Inner membrane protein YmgF		
IODOLM_01189	2.4711283997172	1.4661534255088e-30		Fels-1 Propage domain-containing protein	S	-
IODOLM_01190	4.35084865384591	3.65864707268417e-42		PPC domain-containing protein	S	-
IODOLM_01194	3.63536803859078	6.48577479810358e-23	hlyE	hemolysin HlyE	O	-
IODOLM_01208	2.0712266150814	2.69205846008306e-05		Protein	-	-
IODOLM_01209	3.83086474836972	3.95311522075286e-47	treA	alpha,alpha-trehalase	G	ko00500,ko01100,map00500,map01100
IODOLM_01233	2.20697437517491	8.37872266877013e-22		Cation transport regulator	K	-
IODOLM_01251	2.32895104311668	2.6237170293489e-12		DNA-binding protein H-NS	K	-
IODOLM_01283	-2.30980148507202	0.00768207347477608		Regulatory protein N	-	-
IODOLM_01317	2.55450153702207	1.04528492979701e-18		Transcriptional regulator	K	-
IODOLM_01326	2.59844881103546	4.28865364958899e-26		YCII-related domain-containing protein	S	-
IODOLM_01333	3.12357947104608	1.21952857711566e-41	yciF	Protein yciF	S	-
IODOLM_01339	5.23561729380953	1.18896251113812e-52		Anthranilate synthase component 1	E	ko00400,ko00405,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map01100,map01110,map01130,map01230,map02024,map02025
IODOLM_01340	2.97538611465102	2.59168924210034e-11		trp operon leader peptide		
IODOLM_01364	2.09289680796642	4.60211268803109e-43		Putative signal transduction protein	T	ko02024,ko02026,map02024,map02026
IODOLM_01366	2.40516874779695	7.09237428106462e-39	yciW	Uncharacterized protein YciW	S	-
IODOLM_01374	2.04821985436306	1.19194400079581e-20	puuP	putrescine/proton symporter PuuP	E	-
IODOLM_01375	4.37600679257451	2.53973041714601e-98	puuA	glutamate-putrescine ligase	E	ko00220,ko00250,ko00330,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00330,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727
IODOLM_01376	4.83168754693424	1.89130897224039e-68		Gamma-glutamyl-gamma-aminobutyrate hydrolase	S	ko00330,ko01100,map00330,map01100
IODOLM_01377	2.35579219637513	1.56580770117714e-46	puuR	HTH-type transcriptional regulator PuuR	K	-
IODOLM_01378	4.60682361386263	6.40862376033492e-124	puuC	NADP/NAD-dependent aldehyde dehydrogenase PuuC	C	ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130
IODOLM_01379	4.87521767293848	5.7838186583015e-137	puuB	gamma-glutamylputrescine oxidase	E	ko00330,ko01100,map00330,map01100
IODOLM_01380	4.16138046771129	8.23431013871416e-79		4-aminobutyrate--2-oxoglutarate transaminase	E	ko00250,ko00280,ko00410,ko00640,ko00650,ko01100,ko01120,map00250,map00280,map00410,map00640,map00650,map01100,map01120
IODOLM_01387	2.68933427499646	2.67720166257272e-06	ycjM	glucosylglycerate phosphorylase	G	ko00500,map00500
IODOLM_01389	2.55424235412068	0.00107060803471917		ABC transmembrane type-1 domain-containing protein	P	-
IODOLM_01397	2.58537507361985	0.0011261728100699	ompG	monomeric porin OmpG	M	-
IODOLM_01399	2.35576254912427	2.69459809584581e-42		6-carboxy-5,6,7,8-tetrahydropterin synthase	S	-
IODOLM_01402	2.09517589921237	7.46388565933954e-20		Thiol peroxidase	O	-
IODOLM_01406	2.52165586424272	3.23565007956652e-25		Peptidase S9 prolyl oligopeptidase catalytic domain-containing protein	S	-
IODOLM_01407	2.07552081941944	6.13920148044332e-22	pgrR	DNA-binding transcriptional regulator PgrR	K	-
IODOLM_01420	2.26732732388246	2.54844425030367e-36	dgcM	diguanylate cyclase DgcM	T	ko02026,map02026
IODOLM_01422	2.08641340994943	6.36485994060265e-14		hypothetical protein		
IODOLM_01429	-2.3773432829247	6.44336923739601e-31		Exodeoxyribonuclease VIII	L	-
IODOLM_01430	-3.25967515151191	1.37699031104536e-13	racC	Protein RacC	-	-
IODOLM_01431	-2.44403565832894	0.00036049323849139	ydaE	Uncharacterized protein YdaE	S	-
IODOLM_01432	-2.48113177012578	8.95448108680793e-08	kilR	killing protein KilR	S	-
IODOLM_01433	2.30948917488771	3.31165926614722e-05		Superinfection exclusion protein B		
IODOLM_01434	-2.50087141535009	5.46388545212748e-06		hypothetical protein	S	-
IODOLM_01435	-2.03299643713449	7.68525211895713e-09		hypothetical protein	S	-
IODOLM_01439	-2.05998830765083	1.15268835937717e-15		Bacteriophage protein	S	-
IODOLM_01451	2.75219329651978	8.84106623021811e-52	pinR	Serine recombinase PinR	L	-
IODOLM_01452	6.23067494039697	8.42810367904962e-170	ydfK	cold shock protein YdfK	K	-
IODOLM_01486	3.55847667700186	8.0342748105495e-38	ydbD	Uncharacterized protein YdbD	S	-
IODOLM_01487	2.10498952031082	0.014753223011044		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	I	ko00564,ko01100,map00564,map01100
IODOLM_01502	3.23819707695952	2.69205824296011e-40		DNA-binding transcriptional regulator	K	-
IODOLM_01505	-2.37765312627924	4.15011767240546e-24	ydcH	Uncharacterized protein YdcH	S	-
IODOLM_01516	-3.48496004325562	2.52840253971492e-29		hypothetical protein	S	-
IODOLM_01530	4.70710953524033	1.04236039654113e-43	mcbR	colanic acid/biofilm transcriptional regulator McbR	K	-
IODOLM_01531	2.36501416013523	1.37267148127811e-34		Colicin I receptor	P	-
IODOLM_01534	2.63236994859008	3.22881677284575e-18	yncG	Uncharacterized GST-like protein YncG	O	-
IODOLM_01540	2.82011218374286	7.20220565638379e-32	pptA	Tautomerase PptA	S	ko00362,ko00621,ko00622,ko01100,ko01120,ko01220,map00362,map00621,map00622,map01100,map01120,map01220
IODOLM_01545	2.61853616957101	9.55482253213051e-40	narW	putative nitrate reductase molybdenum cofactor assembly chaperone NarW	C	ko02020,map02020
IODOLM_01546	2.52210601858244	9.30738748833509e-50		Nitrate reductase subunit beta	C	ko00910,ko01120,ko02020,map00910,map01120,map02020
IODOLM_01547	3.0213870122982	5.3367971389632e-39	narZ	nitrate reductase Z subunit alpha	C	ko00910,ko01120,ko02020,map00910,map01120,map02020
IODOLM_01548	4.92727782310206	2.72365720980365e-109	narU	nitrate/nitrite transporter NarU	P	ko00910,map00910
IODOLM_01556	-2.57561769021789	6.38660512303964e-35		Plasmid maintenance system antidote protein	K	-
IODOLM_01559	3.42108544322837	1.51241307585886e-35		Stationary-phase-induced ribosome-associated protein	J	-
IODOLM_01560	2.9788295335877	1.28442706417668e-12		Protein Bdm (Biofilm-dependent modulation protein)	S	-
IODOLM_01567	2.6838506897281	3.40425032931152e-06		D-alanyl-D-alanine dipeptidase	M	ko01502,ko02020,map01502,map02020
IODOLM_01569	2.40905595547316	6.69627695393483e-43	dosC	diguanylate cyclase DosC	T	-
IODOLM_01573	2.06517422465124	6.99001855972029e-20	pqqL	putative zinc protease PqqL	S	-
IODOLM_01574	2.09281004340269	1.80420823784783e-12	yddB	Uncharacterized protein YddB	P	-
IODOLM_01575	2.69497113769126	7.19448149157918e-06	yddA	Inner membrane ABC transporter ATP-binding protein YddA	P	ko02010,map02010
IODOLM_01581	3.42555476996148	2.06241134241407e-06		Fimbrial protein	NU	-
IODOLM_01582	2.44759531475376	0.0130986832668986		Fimbrial protein	NU	-
IODOLM_01583	2.09082984615201	0.0384953183963816		hypothetical protein	NU	-
IODOLM_01587	-2.76965867128332	6.40447149713763e-20		hypothetical protein	U	-
IODOLM_01596	2.37398587825699	2.58240189178875e-41		Trans-aconitate 2-methyltransferase	J	-
IODOLM_01615	2.4352578350813	1.0543029348348e-21		2-oxo-tetronate isomerase	S	-
IODOLM_01621	2.12717581963971	2.66413580628716e-15		Major facilitator superfamily (MFS) profile domain-containing protein	P	-
IODOLM_01622	5.43847860533098	5.20212258591657e-17	ydfK	cold shock protein YdfK	K	-
IODOLM_01623	2.61785073558683	3.66594347278149e-47	pinR	Serine recombinase PinR	L	-
IODOLM_01644	2.9552354862589	2.22353315302258e-06	flxA	Protein FlxA		
IODOLM_01649	2.81844675846817	1.96688937973601e-40		DUF1391 domain-containing protein	S	-
IODOLM_01650	2.48424380505644	1.58438673179286e-17		Prophage protein	-	-
IODOLM_01651	2.18357173726362	1.99035413587352e-22		Putative prophage protein	-	-
IODOLM_01652	2.44068546646325	0.00896024997771035		hypothetical protein		
IODOLM_01657	2.45014951930668	1.03475778264796e-18		hypothetical protein	L	-
IODOLM_01660	2.21521547113079	1.06216046776579e-08		Defective integrase Qin prophage	L	-
IODOLM_01664	2.95344497035927	3.81501555989648e-45		UPF0482 protein KPN78578_15540	S	-
IODOLM_01667	3.35501931940497	5.10828179971736e-30		DUF1161 domain-containing protein	S	-
IODOLM_01696	2.25663022341031	9.18994782336245e-71	ydgA	Protein YdgA	S	-
IODOLM_01701	3.39994086266796	4.72897132549608e-82		7-alpha-hydroxysteroid dehydrogenase	IQ	ko00121,map00121
IODOLM_01707	2.28162282739118	1.55936149352902e-50		H-NS-and StpA-binding protein	K	-
IODOLM_01708	2.12754627955496	1.14834178016672e-44	ydgK	Inner membrane protein YdgK	S	-
IODOLM_01715	2.55678795496851	5.32832080059799e-30		Endonuclease III	L	ko03410,map03410
IODOLM_01716	3.21216618407178	5.98517173273893e-08		hypothetical protein		
IODOLM_01772	3.54698605622246	7.12624253200377e-06	ydiM	Inner membrane transport protein YdiM	P	-
IODOLM_01773	4.34812537236309	5.91079297648951e-13	ydiN	Inner membrane transport protein YdiN	G	-
IODOLM_01779	2.18190172931433	0.0169527355131287		hypothetical protein		
IODOLM_01802	4.07076134982643	7.23740011084095e-06		Putative ankyrin repeat protein B	S	-
IODOLM_01803	3.39077919307293	6.10436266255758e-07		hypothetical protein	S	-
IODOLM_01811	2.2475607284308	1.16351109816117e-08	ydjM	Inner membrane protein YdjM	S	-
IODOLM_01812	2.45371513974902	1.18263236767134e-51	tcyP	cystine/sulfocysteine:cation symporter	U	-
IODOLM_01822	2.02748819144172	9.92513064557495e-35	osmE	Osmotically-inducible putative lipoprotein OsmE	M	-
IODOLM_01830	2.59752274162955	6.26634457142715e-34		Arginine N-succinyltransferase	E	ko00330,ko01100,map00330,map01100
IODOLM_01831	2.82672336227997	7.76304427818869e-23	astC	succinylornithine/acetylornithine transaminase	E	ko00220,ko00300,ko00330,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00220,map00300,map00330,map01100,map01110,map01120,map01130,map01210,map01230
IODOLM_01833	2.40425549487299	0.000308315765594011	ydjX	TVP38/TMEM64 family membrane protein YdjX	S	-
IODOLM_01856	2.24012681714147	1.54134361033127e-08	ydjI	Uncharacterized protein YdjI	G	-
IODOLM_01871	2.27323290642436	2.03471161809355e-28		UPF0756 membrane protein YPO3057/y1423/YP_2679	S	-
